epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,709.094,0.98453,1.09434,1.04236,0.97404,0.95142,0.98176,0.79748,0.84549,0.60579,1.03282,0.00333046,0.00333046,0.00333046
2,1383.37,0.75181,0.58709,0.94547,0.98279,0.96346,0.98801,0.83267,0.72024,0.47225,0.98487,0.00653185,0.00653185,0.00653185
3,2033.35,0.71217,0.51483,0.93339,0.98582,0.96002,0.98858,0.80749,0.75183,0.44118,1.01729,0.00960124,0.00960124,0.00960124
4,2684.82,0.65695,0.44737,0.91944,0.98008,0.95942,0.98697,0.85895,0.63687,0.38052,0.96581,0.009406,0.009406,0.009406
5,3338.24,0.58548,0.38926,0.90151,0.97395,0.96058,0.99022,0.88706,0.58689,0.35594,0.95752,0.009208,0.009208,0.009208
6,4003.65,0.54211,0.35589,0.89038,0.98932,0.96495,0.99293,0.89,0.55899,0.32151,0.94285,0.00901,0.00901,0.00901
7,4668.01,0.50954,0.33267,0.88203,0.98198,0.97044,0.99241,0.89741,0.53008,0.30894,0.92834,0.008812,0.008812,0.008812
8,5325.41,0.48638,0.31845,0.87665,0.9813,0.97625,0.98842,0.90333,0.52657,0.29319,0.93125,0.008614,0.008614,0.008614
9,5977.04,0.46924,0.30629,0.8724,0.98663,0.98123,0.99259,0.91725,0.47859,0.27933,0.91298,0.008416,0.008416,0.008416
10,6635.07,0.45214,0.29685,0.86657,0.98908,0.97614,0.99324,0.919,0.47383,0.27291,0.90687,0.008218,0.008218,0.008218
11,7293.17,0.43682,0.2859,0.86257,0.98947,0.98158,0.99338,0.92307,0.45125,0.26062,0.9039,0.00802,0.00802,0.00802
12,7960.09,0.42781,0.28003,0.86045,0.98848,0.98329,0.99278,0.93047,0.45375,0.25474,0.89873,0.007822,0.007822,0.007822
13,8624.93,0.41596,0.27236,0.85695,0.98773,0.9863,0.9942,0.92931,0.4352,0.24758,0.89006,0.007624,0.007624,0.007624
14,9282.35,0.4078,0.2678,0.85547,0.99226,0.98319,0.9937,0.93729,0.41573,0.23444,0.8876,0.007426,0.007426,0.007426
15,9941.89,0.39752,0.26121,0.85195,0.99251,0.98509,0.99382,0.93473,0.4133,0.23559,0.8869,0.007228,0.007228,0.007228
16,10599,0.39132,0.25728,0.8512,0.99048,0.98401,0.99365,0.93613,0.4018,0.22694,0.8796,0.00703,0.00703,0.00703
17,11262.2,0.38139,0.25116,0.84802,0.99186,0.98461,0.99301,0.94185,0.39368,0.22467,0.87487,0.006832,0.006832,0.006832
18,11930.7,0.37913,0.24854,0.84573,0.99277,0.98413,0.9935,0.94201,0.39035,0.21971,0.87496,0.006634,0.006634,0.006634
19,12594.8,0.36971,0.24366,0.84379,0.9928,0.98528,0.99395,0.94708,0.37513,0.21436,0.86786,0.006436,0.006436,0.006436
20,13253.4,0.36323,0.24032,0.84193,0.99312,0.98823,0.99435,0.94631,0.36789,0.2127,0.86172,0.006238,0.006238,0.006238
21,13912.7,0.35879,0.23773,0.84145,0.99322,0.98434,0.99363,0.94808,0.37139,0.20886,0.86379,0.00604,0.00604,0.00604
22,14577.2,0.35152,0.23381,0.83879,0.99399,0.98488,0.9942,0.9511,0.36264,0.2062,0.86025,0.005842,0.005842,0.005842
23,15241.2,0.34608,0.23034,0.83736,0.99459,0.9845,0.99422,0.94945,0.35516,0.20241,0.85861,0.005644,0.005644,0.005644
24,15910.5,0.34253,0.22946,0.8377,0.99414,0.98502,0.99414,0.95424,0.34814,0.19686,0.85797,0.005446,0.005446,0.005446
25,16649.1,0.33894,0.22632,0.83611,0.99204,0.9865,0.99433,0.95419,0.34103,0.1938,0.85447,0.005248,0.005248,0.005248
26,17386.9,0.33578,0.22363,0.83562,0.99465,0.98378,0.99393,0.95689,0.32786,0.18979,0.84822,0.00505,0.00505,0.00505
27,18135.8,0.32933,0.22052,0.83387,0.99391,0.98702,0.99442,0.95715,0.32553,0.18888,0.84632,0.004852,0.004852,0.004852
28,18906.1,0.32645,0.21811,0.83246,0.99502,0.98284,0.99427,0.95828,0.32214,0.18631,0.84726,0.004654,0.004654,0.004654
29,19752.9,0.32199,0.21534,0.83208,0.99396,0.98688,0.99447,0.95984,0.30939,0.18168,0.84292,0.004456,0.004456,0.004456
30,20613.4,0.3149,0.2112,0.8299,0.99519,0.98577,0.99443,0.96136,0.30975,0.18059,0.84237,0.004258,0.004258,0.004258
31,21489.6,0.30965,0.20847,0.82818,0.99375,0.98778,0.99457,0.96223,0.30304,0.17843,0.83899,0.00406,0.00406,0.00406
32,22261.5,0.30764,0.20663,0.8274,0.99474,0.98771,0.99449,0.96222,0.30038,0.17715,0.83752,0.003862,0.003862,0.003862
33,22909.5,0.30282,0.20375,0.82585,0.99539,0.98716,0.99451,0.96368,0.29944,0.17651,0.83774,0.003664,0.003664,0.003664
34,23555.5,0.2997,0.20121,0.82569,0.99435,0.98586,0.99444,0.96327,0.29222,0.17282,0.8356,0.003466,0.003466,0.003466
35,24201.8,0.29764,0.19973,0.82533,0.99571,0.98602,0.99448,0.96389,0.29501,0.17183,0.83556,0.003268,0.003268,0.003268
36,24847.8,0.28985,0.1968,0.82329,0.99673,0.98597,0.99454,0.96481,0.28857,0.16993,0.83342,0.00307,0.00307,0.00307
37,25495.1,0.28781,0.19408,0.82299,0.99484,0.98686,0.99452,0.96442,0.2862,0.16915,0.83243,0.002872,0.002872,0.002872
38,26144.4,0.28157,0.19158,0.82078,0.99523,0.98646,0.99458,0.965,0.28376,0.16912,0.83193,0.002674,0.002674,0.002674
39,26849.4,0.27659,0.18764,0.8193,0.99404,0.98801,0.99459,0.9659,0.27876,0.16567,0.82997,0.002476,0.002476,0.002476
40,27613.8,0.27546,0.18726,0.81973,0.99467,0.98734,0.99457,0.96673,0.27593,0.16407,0.82795,0.002278,0.002278,0.002278
41,28236.4,0.22625,0.15686,0.79721,0.99545,0.98744,0.99457,0.96799,0.27551,0.16309,0.82757,0.00208,0.00208,0.00208
42,28812.2,0.2157,0.15132,0.79354,0.99596,0.98711,0.9946,0.96844,0.27327,0.16182,0.8264,0.001882,0.001882,0.001882
43,29379.3,0.20825,0.14681,0.79176,0.99498,0.98774,0.99463,0.96978,0.26719,0.15931,0.82443,0.001684,0.001684,0.001684
44,29949.6,0.20337,0.14437,0.79046,0.99652,0.98623,0.99466,0.97025,0.26312,0.15708,0.82345,0.001486,0.001486,0.001486
45,30520.3,0.19729,0.14122,0.78821,0.99658,0.98673,0.99466,0.9703,0.26033,0.15721,0.82274,0.001288,0.001288,0.001288
46,31097.4,0.19181,0.13711,0.78619,0.99744,0.98664,0.99466,0.97065,0.25782,0.15585,0.82171,0.00109,0.00109,0.00109
47,31670.5,0.1876,0.13461,0.78566,0.99788,0.98652,0.99469,0.97089,0.25537,0.1551,0.82075,0.000892,0.000892,0.000892
48,32244,0.18181,0.13117,0.78475,0.99797,0.98641,0.99465,0.97139,0.25329,0.1538,0.82015,0.000694,0.000694,0.000694
49,32955.2,0.1786,0.12896,0.78281,0.99757,0.98664,0.99468,0.97197,0.25105,0.15319,0.81925,0.000496,0.000496,0.000496
50,33868.1,0.17432,0.12586,0.78201,0.99765,0.98658,0.99472,0.9723,0.24912,0.15258,0.81852,0.000298,0.000298,0.000298
